"","uk","yk"
"1",-1,0.170025278399327
"2",-1,0.613930416977026
"3",-1,-1.18132249652997
"4",-1,-0.503725076256853
"5",-1,-0.632853061349799
"6",-1,-1.16019460516721
"7",-1,-0.993152934583959
"8",-1,-0.747094946682817
"9",-1,0.32553678593869
"10",-1,0.299064737002857
"11",-1,-0.940071228485014
"12",-1,0.217752972985994
"13",-1,-0.34964867633018
"14",-1,-0.663581927104495
"15",-1,-0.499787501293361
"16",-1,-0.78251617489809
"17",-1,-0.811071189731481
"18",-1,-0.322674481345097
"19",-1,-0.257086535687455
"20",-1,-0.214060425613954
"21",-1,-0.429130851633841
"22",-1,-1.06011012940643
"23",-1,-0.588692020675998
"24",-1,-0.246863579686817
"25",-1,-0.523487704110475
"26",-1,-0.380925728457249
"27",-1,-0.45876120005986
"28",-1,-0.794295424357285
"29",-1,-0.675430460913626
"30",-1,-1.0145550079737
"31",-1,-0.551653933340193
"32",-1,-1.1228429938526
"33",-1,-1.1906073888567
"34",-1,-1.14988770301552
"35",-1,-1.8292124654547
"36",-1,-0.580431125127867
"37",-1,-0.723838020745759
"38",-1,-1.03149858959337
"39",-1,-0.410804059924074
"40",-1,-1.27662897743042
"41",-1,-0.908277684942346
"42",-1,-0.920791530954729
"43",-1,-0.736548053879877
"44",-1,-0.69962206205327
"45",-1,-1.05299044768312
"46",1,-0.853948564865114
"47",1,-0.876262690061462
"48",1,0.576008925389224
"49",1,0.974175880903562
"50",1,1.13415466920354
"51",1,0.588731427048119
"52",1,0.800762106846815
"53",1,0.409104605267159
"54",1,0.367613706810768
"55",1,0.687276861262081
"56",1,1.22894847346708
"57",1,0.625686426692328
"58",1,0.903300425396953
"59",1,0.745082073428465
"60",1,1.14728088781028
"61",1,0.523246364145317
"62",1,0.775236466954643
"63",1,0.959253946779559
"64",1,1.17525316818047
"65",1,1.37153620892535
"66",-1,0.966445111346481
"67",-1,0.40338814084534
"68",-1,-0.691537699760621
"69",-1,-1.01104953434031
"70",-1,-0.0615344441142317
"71",-1,-0.848421580908445
"72",-1,-0.529247018014839
"73",-1,-0.796440379786965
"74",-1,-0.498962477480332
"75",-1,-0.975648791066729
"76",-1,-1.25870080943623
"77",-1,-1.34611425088731
"78",-1,-0.783738227577277
"79",-1,-0.894274204162507
"80",-1,-0.892307373693038
"81",-1,-0.378729141683067
"82",-1,-0.631805079117912
"83",-1,-0.681011314585615
"84",-1,-0.257197125222486
"85",-1,-0.933615395723098
"86",1,-0.570197373420738
"87",1,-0.487108216675406
"88",1,0.400152977815687
"89",1,0.691398206843818
"90",1,0.356566620559019
"91",-1,0.325870434108643
"92",-1,0.705003877041044
"93",-1,-0.229050571519576
"94",-1,0.234559803378972
"95",-1,-0.738890682145157
"96",-1,-0.646939265572324
"97",-1,-0.767328442052535
"98",-1,-1.38711363164446
"99",-1,-1.04898744634662
"100",-1,-1.45037701805961
"101",-1,-0.689180248415199
"102",-1,-1.10513554867057
"103",-1,-0.836669520853486
"104",-1,-1.00002556739458
"105",-1,-0.752372530746932
"106",1,-0.994820703847072
"107",1,-0.68551773469574
"108",1,0.644566089822636
"109",1,1.19348734953929
"110",1,0.772952487940387
"111",1,0.128685109778106
"112",1,0.401703473887518
"113",1,1.10886245733069
"114",1,0.486877855535256
"115",1,1.04903280474159
"116",1,0.872580304858652
"117",1,1.27884511853672
"118",1,0.283034524052832
"119",1,0.665026901535605
"120",1,0.369314471774162
"121",1,1.61883640285282
"122",1,1.1944974638882
"123",1,1.35503082170146
"124",1,0.61206866343135
"125",1,0.658232867091481
"126",-1,0.687410818450266
"127",-1,1.11690649005649
"128",-1,-0.433623284431819
"129",-1,-0.368603507969474
"130",-1,-1.29969710520753
"131",1,-0.967093361465684
"132",1,-1.11041844941438
"133",1,-0.175786165816571
"134",1,0.622355371901172
"135",1,0.752158169742725
"136",-1,0.759914996087965
"137",-1,0.355035320897181
"138",-1,-0.139414176179354
"139",-1,-0.465933944683857
